,District,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout,Year
0,PESHAWAR,PESHAWAR-I,NA-1,Mr Sajid Abdullah,Pakistan Tehreek-e-Insaf,2029,65642,1552,67194,233907,28.73,2002
1,PESHAWAR,PESHAWAR-I,NA-1,Mr Shabir Ahmad,Muttahidda Majlis-e-Amal Pakistan,37179,65642,1552,67194,233907,28.73,2002
2,PESHAWAR,PESHAWAR-I,NA-1,Mr Usman Bashir Bilour,Awami National Party,23002,65642,1552,67194,233907,28.73,2002
3,PESHAWAR,PESHAWAR-I,NA-1,Mr Muhammad Khurshid Khan Advocate,Independent,1537,65642,1552,67194,233907,28.73,2002
4,PESHAWAR,PESHAWAR-I,NA-1,Mr Muhammad Muazzam Butt,Pakistan Muslim League(QA),1417,65642,1552,67194,233907,28.73,2002
5,PESHAWAR,PESHAWAR-II,NA-2,Dr Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,15771,56000,1367,57367,216587,26.49,2002
6,PESHAWAR,PESHAWAR-II,NA-2,Mr Abdul Manan Akhunzada Advocate,Pakistan Peoples party(Sherpao),926,56000,1367,57367,216587,26.49,2002
7,PESHAWAR,PESHAWAR-II,NA-2,Maulana Rehmat Ullah,Muttahidda Majlis-e-Amal Pakistan,37728,56000,1367,57367,216587,26.49,2002
8,PESHAWAR,PESHAWAR-III,NA-3,Mr Arbab Muhammad Ayub Jan,National Alliance,8838,67357,1955,69312,226299,30.63,2002
9,PESHAWAR,PESHAWAR-III,NA-3,Mr Iqbal Zafar Jhagra,Pakistan Muslim League(N),5956,67357,1955,69312,226299,30.63,2002
10,PESHAWAR,PESHAWAR-III,NA-3,Mr Saleem Akbar Khan,Pakistan Awami Tehreek,748,67357,1955,69312,226299,30.63,2002
11,PESHAWAR,PESHAWAR-III,NA-3,Qari Fayazur Rehman Alvi,Muttahidda Majlis-e-Amal Pakistan,33567,67357,1955,69312,226299,30.63,2002
12,PESHAWAR,PESHAWAR-III,NA-3,Mr Kiramatullah Khan,Pakistan Peoples Party Parliamentarians,14662,67357,1955,69312,226299,30.63,2002
13,PESHAWAR,PESHAWAR-III,NA-3,Mr Hidayatullah Khan,Pakistan Peoples party(Sherpao),3403,67357,1955,69312,226299,30.63,2002
14,PESHAWAR,PESHAWAR-IV,NA-4,Mr Arbab Muhammad Zahir Khan,Awami National Party,16660,63597,2226,65823,222276,29.61,2002
15,PESHAWAR,PESHAWAR-IV,NA-4,Mr Arbab Shabeer Ahmad Advocate,Pakistan Muslim League(QA),6266,63597,2226,65823,222276,29.61,2002
16,PESHAWAR,PESHAWAR-IV,NA-4,Haji Abdur Raziq,Pakistan Muslim League(N),4887,63597,2226,65823,222276,29.61,2002
17,PESHAWAR,PESHAWAR-IV,NA-4,Haji Javed Iqbal Barki,Pakistan Tehreek-e-Insaf,4500,63597,2226,65823,222276,29.61,2002
18,PESHAWAR,PESHAWAR-IV,NA-4,Mr Muhammad Intikhab Khan,Pakistan Muslim League(Z),2556,63597,2226,65823,222276,29.61,2002
19,NOWSHERA,NOWSHERA-I,NA-5,Mian Rashid Ali Shah,Awami National Party,11944,75012,2153,77165,206271,37.41,2002
20,NOWSHERA,NOWSHERA-I,NA-5,Mr Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,22189,75012,2153,77165,206271,37.41,2002
21,Nowshera,Nowshera-II,NA-6,Haji Sher Zada Khan,Awami National Party,9355,65993,2467,68460,194949,35.12,2002
22,Nowshera,Nowshera-II,NA-6,Maulana Hamid-ul-Haq Haqani,Muttahidda Majlis-e-Amal Pakistan,33242,65993,2467,68460,194949,35.12,2002
23,Nowshera,Nowshera-II,NA-6,Mian Muzaffar Shah,Pakistan Peoples Party(Sherpao),5810,65993,2467,68460,194949,35.12,2002
24,Nowshera,Nowshera-II,NA-6,Mr Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,16655,65993,2467,68460,194949,35.12,2002
25,Charsadda,Charsadda-I,NA-7,Maulana Muhammad Gohar Shah,Muttahidda Majlis-e-Amal Pakistan,55917,87281,2099,89380,242084,36.92,2002
26,Charsdda,Charsdda-II,NA-8,Mr Aftab Ahmad Khan Sherpao,Pakistan Peoples party(Sherpao),42326,62739,1673,64412,217430,29.62,2002
27,Charsdda,Charsdda-II,NA-8,Haji Sharifullah Khan,Independent,1105,62739,1673,64412,217430,29.62,2002
28,Charsdda,Charsdda-II,NA-8,Mr Shamas Khan,Pakistan Mazdoor Kissan Party,962,62739,1673,64412,217430,29.62,2002
29,Mardan,Mardan-I,NA-9,Mr Sarfaraz Khan,Independent,1417,77668,1722,79390,221113,35.9,2002
