constituency_code,candidate_party_code,candidate_votes,win,winner,assembly_code
NA1,All Pakistan Muslim League,6755,48616,,NA
NA1,Awami National Party,3613,48616,,NA
NA1,Independent,4586,48616,,NA
NA1,Mutahida Majlis-e-Amal Pakistan,48616,48616,1,NA
NA1,Pakistan Muslim League (N),21016,48616,,NA
NA1,Pakistan Peoples Party Parliamentarians,32635,48616,,NA
NA1,Pakistan Reh-e- Haq Party,3223,48616,,NA
NA1,Pakistan Tehreek-e-Insaf,38481,48616,,NA
NA10,Awami National Party,32673,34074,,NA
NA10,Awami Workers Party,1200,34074,,NA
NA10,Independent,1461,34074,,NA
NA10,Mutahida Majlis-e-Amal Pakistan,20803,34074,,NA
NA10,Pakistan Muslim League (N),34074,34074,1,NA
NA10,Pakistan Peoples Party Parliamentarians,5642,34074,,NA
NA10,Pakistan Tehreek-e-Insaf,27835,34074,,NA
NA100,Allah-O-Akbar Tehreek,1434,75204,,NA
NA100,Awami Justice Party Pakistan,341,75204,,NA
NA100,Independent,12386,75204,,NA
NA100,Jamhoori Watan Party,256,75204,,NA
NA100,Mutahida Majlis-e-Amal Pakistan,453,75204,,NA
NA100,Pakistan Kissan Ittehad (Ch. Anwar),2122,75204,,NA
NA100,Pakistan Muslim League (N),75204,75204,1,NA
NA100,Pakistan Peoples Party Parliamentarians,40442,75204,,NA
NA100,Pakistan Tehreek-e-Insaf,74085,75204,,NA
NA100,Tehreek Labbaik Pakistan,6665,75204,,NA
NA101,All Pakistan Muslim League,406,150622,,NA
NA101,Allah-O-Akbar Tehreek,5343,150622,,NA
NA101,Independent,150622,150622,1,NA
NA101,Mutahida Majlis-e-Amal Pakistan,325,150622,,NA
NA101,Pakistan Peoples Party Parliamentarians,6088,150622,,NA
NA101,Pakistan Tehreek-e-Insaf,86575,150622,,NA
NA101,Tehreek Labbaik Pakistan,9962,150622,,NA
NA101,Tehreek-e-Labbaik Islam,1523,150622,,NA
NA102,All Pakistan Muslim League,714,110259,,NA
NA102,Allah-O-Akbar Tehreek,6097,110259,,NA
NA102,Independent,13939,110259,,NA
NA102,Move on Pakistan,1873,110259,,NA
NA102,Pakistan Muslim League (N),88114,110259,,NA
NA102,Pakistan Peoples Party (Shaheed Bhutto),998,110259,,NA
NA102,Pakistan Peoples Party Parliamentarians,21250,110259,,NA
NA102,Pakistan Tehreek-e-Insaf,110259,110259,1,NA
NA102,Tehreek Labbaik Pakistan,16091,110259,,NA
NA104,Allah-O-Akbar Tehreek,4289,95099,,NA
NA104,Independent,63975,95099,,NA
NA104,Pakistan Muslim League (N),95099,95099,1,NA
NA104,Pakistan Peoples Party Parliamentarians,21718,95099,,NA
NA104,Pakistan Tehreek-e-Insaf,73320,95099,,NA
NA104,Tehreek Labbaik Pakistan,6365,95099,,NA
NA104,Tehreek-e-Labbaik Islam,3043,95099,,NA
NA105,Allah-O-Akbar Tehreek,7910,77862,,NA
NA105,Independent,77769,77862,,NA
NA105,Pakistan Muslim Alliance,107,77862,,NA
NA105,Pakistan Muslim League (N),56540,77862,,NA
NA105,Pakistan Peoples Party Parliamentarians,5795,77862,,NA
NA105,Pakistan Tehreek-e-Insaf,77862,77862,1,NA
NA105,Tehreek Labbaik Pakistan,15237,77862,,NA
NA106,Independent,4460,106046,,NA
NA106,Mutahida Majlis-e-Amal Pakistan,2078,106046,,NA
NA106,Pakistan Muslim League (N),106046,106046,1,NA
NA106,Pakistan Peoples Party Parliamentarians,12774,106046,,NA
NA106,Pakistan Tehreek-e-Insaf,103632,106046,,NA
NA106,Tehreek Labbaik Pakistan,9944,106046,,NA
NA107,Allah-O-Akbar Tehreek,3537,126441,,NA
NA107,Amun Taraqqi Party,171,126441,,NA
NA107,Mutahida Majlis-e-Amal Pakistan,1956,126441,,NA
NA107,Pakistan Muslim League (N),102159,126441,,NA
NA107,Pakistan Peoples Party Parliamentarians,2652,126441,,NA
NA107,Pakistan Tehreek-e-Insaf,126441,126441,1,NA
NA107,Tehreek Labbaik Pakistan,9034,126441,,NA
NA109,Allah-O-Akbar Tehreek,5178,122905,,NA
NA109,Independent,489,122905,,NA
NA109,Mutahida Majlis-e-Amal Pakistan,2724,122905,,NA
NA109,Pakistan Muslim League (N),94476,122905,,NA
NA109,Pakistan Peoples Party Parliamentarians,3090,122905,,NA
NA109,Pakistan Sunni Tehreek,151,122905,,NA
NA109,Pakistan Tehreek-e-Insaf,122905,122905,1,NA
NA109,Tehreek Labbaik Pakistan,9975,122905,,NA
NA109,Tehreek-e-Labbaik Islam,781,122905,,NA
NA11,Allah-O-Akbar Tehreek,95,19119,,NA
NA11,Independent,19119,19119,1,NA
NA11,Mutahida Majlis-e-Amal Pakistan,15859,19119,,NA
NA11,Pak Sarzameen Party,17,19119,,NA
NA11,Pakistan Muslim League,12625,19119,,NA
NA11,Pakistan Muslim League (N),33,19119,,NA
NA11,Pakistan Peoples Party Parliamentarians,4185,19119,,NA
NA11,Pakistan Tehreek-e-Insaf,9584,19119,,NA
NA11,Qaumi Watan Party,183,19119,,NA
NA111,Allah-O-Akbar Tehreek,2713,110556,,NA
NA111,Independent,1023,110556,,NA
