Constiuency,District,Province,Winner_Votes,Runnerup_Candidate,Runnerup_Party,Runnerup_Votes,Total_Votes
NA-1,Chitral,Khyber Pakhtunkhwa,49035,Abdul Latif,PTI,38819,159973
NA-2,Swat,Khyber Pakhtunkhwa,61834,Ameer Maqam,PML-N,41366,157638
NA-3,Swat,Khyber Pakhtunkhwa,68280,Mian Muhammad Shahbaz Sharif,PML-N,22758,155657
NA-4,Swat,Khyber Pakhtunkhwa,71663,Muhammad Saleem Khan,ANP,31209,154419
NA-5,Upper Dir,Khyber Pakhtunkhwa,66654,Sahibzada Tariq Ullah,MMA,58307,208940
NA-6,Lower Dir,Khyber Pakhtunkhwa,63717,Asad Ullah,MMA,37687,169433
NA-7,Lower Dir,Khyber Pakhtunkhwa,63071,Siraj ul Haq,MMA,46927,142877
NA-8,Malakand,Khyber Pakhtunkhwa,81788,Bilawal Bhutto Zardari,PPP,44091,182195
NA-9,Buner,Khyber Pakhtunkhwa,58317,Kamran Khan,PML-N,39213,175877
NA-10,Shangla,Khyber Pakhtunkhwa,35178,Sadeed Ur Rehman,ANP,33650,126227
NA-11,Kohistan,Khyber Pakhtunkhwa,16480,Dost Muhammad Shakir,IND,14536,63481
NA-12,Batagram,Khyber Pakhtunkhwa,35120,Muhammad Yousaf,MMA,24307,89996
NA-13,Mansehra,Khyber Pakhtunkhwa,108950,Sardar Shah Jahan Yousif,PML-N,107114,252587
NA-14,Mansehra,Khyber Pakhtunkhwa,75220,Zar Gul Khan,PTI,59918,204987
NA-15,Abbottabad,Khyber Pakhtunkhwa,95348,Ali Asghar Khan,PTI,82073,234315
NA-16,Abbottabad,Khyber Pakhtunkhwa,85763,Muhahbat Khan,PML-N,55102,176176
NA-17,Haripur,Khyber Pakhtunkhwa,173125,Babar Nawaz Khan,PML-N,133158,335558
NA-18,Swabi,Khyber Pakhtunkhwa,79428,Fazal Ali,MMA,34684,188935
NA-19,Swabi,Khyber Pakhtunkhwa,84489,Waris Khan,ANP,54080,205458
NA-20,Mardan,Khyber Pakhtunkhwa,78188,Gull Nawaz Khan,ANP,38741,187506
NA-21,Mardan,Khyber Pakhtunkhwa,79151,Muhammad Atif,PTI,78999,187225
NA-22,Mardan,Khyber Pakhtunkhwa,58652,Moulana Muhammad Qasim,MMA,56587,195809
NA-23,Charsadda,Khyber Pakhtunkhwa,61911,Haji Zafar Ali Khan,MMA,43541,177884
NA-24,Charsadda,Khyber Pakhtunkhwa,83596,Asfandyar Wali Khan,ANP,59809,202600
NA-25,Nowshera,Khyber Pakhtunkhwa,82208,Khan Parveiz,PPP,35661,179202
NA-26,Nowshera,Khyber Pakhtunkhwa,90298,Jamal Khan Khattak,ANP,47124,182660
NA-27,Peshawar,Khyber Pakhtunkhwa,71242,Haji Ghulam Ali,MMA,39358,149308
NA-28,Peshawar,Khyber Pakhtunkhwa,74525,Sabir Hussain Awan,MMA,27395,145641
NA-29,Peshawar,Khyber Pakhtunkhwa,49779,Naeem Jaan,MMA,29415,125675
NA-30,Peshawar,Khyber Pakhtunkhwa,73885,Arbab Najeeb Ullah,MMA,18197,122624
NA-31,Peshawar,Khyber Pakhtunkhwa,87975,Haji Ghulam Ahmad Bilour,ANP,42526,161135
NA-32,Kohat,Khyber Pakhtunkhwa,82952,Gohar Muhammad Khan Bangash,MMA,47825,192132
