Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
PESHAWAR-I,NA-1,Aamir Shehzad Hashmi,Mustaqbil Pakistan,77,145924,2103,146044,320578,46.18%
PESHAWAR-I,NA-1,Akram Khan,Independent,182,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827,145924,2103,146044,320578,46.18%
PESHAWAR-I,NA-1,Hidayatullah Khan Afridi Advocate,Independent,61,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Imran Khan,Pakistan Tehreek-e-Insaf,90500,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Pir Abdur Rehman,Independent,265,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan  (Noorani),100,145924,2103,146044,320578,46.18 %
PESHAWAR-I,NA-1,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45,145924,2103,146044,320578,46.18 %
PESHAWAR-II,NA-2,Aasir Sheraz,Independent,61,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Abdul Bari,Pakistan Muslim League (N),5159,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,10666,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Arbab Najeeb Ullah Khan,Awami National Party,12137,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Hamid Ul Haq,Pakistan Tehreek-e-Insaf,79125,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Intizar Ali Khan Khalil,Independent,577,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Iqtidar Ahmad Afridi,Independent,263,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Ishaq Hussain,Independent,448,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Khadim Hussain,Independent,162,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Malik Haider Khan,Qaumi Watan Party (Sherpao),2242,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Muhammad Atiq ur Rehman,Independent,419,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Muhammad Ibrahim Khalil,Independent,156,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Muhammad Iqbal Khalil,Jamaat-e-Islami Pakistan,8020,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Muhammad Saeed Jan,Jamiat Ulama-e-Islam (F),18787,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Qazi Saif Ullah Khan,MUTAHIDA DEENI MAHAZ,3477,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Safeer Ullah,Independent,57,141790,2408,142031,336122,43.45 %
PESHAWAR-II,NA-2,Saleem Khan,Independent,275,141790,2408,142031,336122,43.45 %
PESHAWAR-III,NA-3,Arbab Inam Ullah Khan,Awami National Party,5902,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Fiza Tariq,Independent,679,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Haji Ghulam Ali,Jamiat Ulama-e-Islam (F),27987,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Iqbal Zaffar Jhagra,Pakistan Muslim League (N),22370,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Israr Ullah,Jamaat-e-Islami Pakistan,11954,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Malik Firdos Khan,Independent,1228,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Malik Javed Khan,Muttahida Qaumi Movement Pakistan,475,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Mst. Tabana,Independent,535,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Muhammad Fayyaz Khan,Independent,585,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Muhammad Hasham Babar,Independent,6449,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Muhammad Zaman,Qaumi Watan Party (Sherpao),2157,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Noor Alam Khan,Pakistan Peoples Party Parliamentarians,22045,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Sajid Nawaz,Pakistan Tehreek-e-Insaf,66528,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Sardar Ali,Independent,743,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Shoukat Ali Khan,Pakistan Muslim League,1337,173647,5276,177823,384086,46.30 %
PESHAWAR-III,NA-3,Umer Said Khan,Independent,471,173647,5276,177823,384086,46.30 %
PESHAWAR-IV,NA-4,ANEELA SHAHEEN,Independent,1852,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,ARBAB KAMAL AHMAD,Jamiat Ulama-e-Islam (F),12519,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,ARBAB MOHAMMAD AYUB JAN,Awami National Party,15795,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,FAIZ MUHAMMAD,Muttahida Qaumi Movement Pakistan,261,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,GUL WAZIR SHAHEEN,MUTAHIDA DEENI MAHAZ,1519,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,GULZAR KHAN,Pakistan Tehreek-e-Insaf,55134,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,MIAN ABDUL LATIF,Qaumi Watan Party (Sherpao),759,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,MISBAH UD DIN,Pakistan Peoples Party Parliamentarians,12031,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,MOLANA MIRAJ UD DIN SIRKANI,Jamiat Ulama-e-Pakistan  (Noorani),1166,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,NASIR KHAN MOSAZAI,Pakistan Muslim League (N),20412,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,SABIR HUSSAIN AWAN,Jamaat-e-Islami Pakistan,16493,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,SHAUKAT KHAN MOMAND,Independent,222,138555,3707,142160,352416,40.34 %
PESHAWAR-IV,NA-4,SYED HIZAR AMIN SHAH,Independent,392,138555,3707,142160,352416,40.34 %
NOWSHERA-I,NA-5,Amjid Hussain,Independent,930,156152,4521,159999,320675,49.89 %
